id_cliente,nombre_cliente,industria,pais
1,"Rodriguez, Figueroa and Sanchez",Corporate treasurer,Saint Pierre and Miquelon
2,Rhodes PLC,Chartered loss adjuster,Nauru
3,Johnson-Davis,"Exhibitions officer, museum/gallery",Madagascar
4,"Johnson, Gonzalez and Santos",Sports administrator,Italy
5,Cole LLC,Accounting technician,Senegal
6,Wolfe LLC,Health physicist,Cape Verde
7,Bernard LLC,"Civil engineer, consulting",Bermuda
8,Davis-Abbott,Trade mark attorney,Estonia
9,Blair PLC,Company secretary,Uzbekistan
10,Miller-Carter,Water engineer,Turks and Caicos Islands
11,Ray-Bush,Armed forces technical officer,Panama
12,Mejia Inc,"Exhibitions officer, museum/gallery",Tonga
13,James Group,Medical sales representative,Central African Republic
14,Kelly-Santiago,Building surveyor,New Caledonia
15,"Jackson, Daniel and Martin",Museum education officer,Faroe Islands
16,"Watts, Robinson and Nguyen",Banker,Denmark
17,Trujillo Group,"Geologist, wellsite",Bahrain
18,Gentry PLC,International aid/development worker,Croatia
19,"Porter, Wilkerson and Day",Customer service manager,Estonia
20,Wright PLC,Solicitor,Estonia
21,"Richards, Hurst and Ross",English as a foreign language teacher,Burundi
22,"Snyder, Campos and Callahan","Designer, ceramics/pottery",Niue
23,Conner Group,"Therapist, occupational",Bahrain
24,James-Ferrell,Seismic interpreter,El Salvador
25,"Valencia, Smith and Le",Software engineer,Sao Tome and Principe
26,Mack-Peterson,Hospital doctor,Jordan
27,Chavez Ltd,General practice doctor,Macao
28,Romero Inc,Hydrogeologist,Tajikistan
29,"Romero, Gonzalez and Brooks","Designer, television/film set",Mauritius
30,"Sellers, George and Burns",Clinical research associate,Vanuatu
31,Koch-Decker,Information systems manager,Dominican Republic
32,Allen PLC,Careers information officer,Belize
33,"Tucker, Jones and Hodges",Comptroller,Brunei Darussalam
34,"Alvarez, Pierce and Baker",Training and development officer,Jamaica
35,Hickman Ltd,"Engineer, control and instrumentation",Rwanda
36,Ross-Powers,Midwife,Kazakhstan
37,"Hayes, Wright and Brown",Advertising art director,Namibia
38,"Hall, Robinson and Jones",Barrister's clerk,Denmark
39,Whitehead LLC,Building services engineer,Malaysia
40,Ramirez Group,"Engineer, site",Mauritius
41,Cummings PLC,Technical author,Lebanon
42,Mueller Group,Energy manager,Bhutan
43,Hopkins LLC,Pharmacologist,Isle of Man
44,Shields-Brown,Chief Technology Officer,Bahamas
45,Chandler-Mcbride,Clinical embryologist,Egypt
46,Lee Group,Counselling psychologist,Jamaica
47,Ramirez and Sons,Call centre manager,Kenya
48,"Garcia, Pearson and Fernandez","Administrator, local government",Bermuda
49,Martin Group,Quarry manager,Croatia
50,Barrera-Martin,"Accountant, chartered",Iceland
