id_viaje,id_cliente,id_vendedor,ingreso_bruto,unidades_vendidas
5001,3,2,10138.81,36
5001,14,6,4403.34,50
5002,49,3,7221.5,27
5002,5,6,2928.04,20
5002,42,3,11453.37,43
5002,34,3,2089.62,16
5003,16,4,5710.52,7
5004,5,6,3078.73,24
5004,27,5,4902.07,46
5004,50,3,13461.1,46
5004,1,1,14162.05,19
5005,2,7,13955.73,6
5005,14,9,14584.47,30
5005,19,1,8340.47,26
5006,25,2,10902.35,13
5006,22,9,4289.79,39
5007,38,7,7180.46,21
5007,12,5,2237.44,39
5007,48,3,5667.02,41
5008,39,5,9200.16,41
5008,20,6,6576.14,27
5008,22,8,13627.75,19
5008,14,2,9325.5,24
5009,37,3,10471.83,34
5009,19,9,4433.18,43
5009,26,4,12272.29,20
5010,9,5,5555.32,28
5010,7,9,2931.99,7
5010,25,3,2466.94,37
5011,22,2,7982.21,22
5012,7,10,9323.29,24
5012,30,9,7019.51,27
5013,9,6,7376.96,33
5013,37,2,7789.76,1
5013,8,3,3820.27,47
5014,39,10,8619.46,34
5015,38,7,6983.83,6
5015,46,6,14773.08,10
5015,24,7,13400.56,16
5015,23,2,9501.56,28
5016,3,7,11535.31,29
5016,42,6,8067.23,24
5017,2,6,3286.75,11
5018,34,8,2354.79,42
5018,44,1,5897.8,25
5018,45,7,9318.28,1
5019,19,6,11509.49,6
5019,21,4,12331.0,25
5020,13,10,10710.7,9
5020,32,1,6878.45,1
5021,31,10,12464.34,11
5021,32,2,10166.31,19
5022,39,1,5967.05,16
5022,42,6,7517.79,5
5023,36,1,4969.59,27
5023,15,2,9550.25,1
5023,35,4,8977.0,15
5023,40,7,6801.53,3
5024,41,5,2424.39,2
5024,33,6,10700.44,27
5024,50,5,8492.89,16
5024,5,4,11751.12,46
5025,29,7,5785.91,6
5026,7,1,13750.3,42
5026,40,3,9065.42,27
5027,18,3,7820.57,15
5027,14,1,7998.29,44
5028,25,3,2626.53,24
5029,30,9,10246.26,38
5029,18,3,14739.33,36
5030,20,8,10302.23,45
5030,12,9,6294.69,6
5030,50,9,10769.01,38
5031,6,6,6241.96,50
5031,40,9,11979.77,13
5031,12,1,8381.1,43
5031,32,7,8222.15,35
5032,46,5,10479.72,36
5033,16,4,5532.05,5
5033,6,7,9331.28,42
5033,50,7,10622.78,10
5033,11,7,12915.74,28
5034,43,1,8384.01,32
5035,38,10,10586.56,4
5035,1,2,3543.83,20
5035,8,7,10470.34,44
5035,16,4,9020.99,47
5036,6,8,5453.0,4
5036,40,3,10089.24,3
5036,32,6,3651.77,47
5037,34,1,7439.01,29
5037,24,4,10271.13,44
5037,20,3,4287.34,24
5038,17,10,12440.98,20
5039,46,10,6026.22,17
5040,12,1,5971.78,15
5040,48,7,7705.88,22
5041,37,5,5157.26,3
5042,7,10,2273.23,14
5042,1,9,11147.11,38
5043,33,2,5009.39,19
5043,20,5,4120.72,15
5043,2,2,3453.13,8
5043,22,7,12522.33,42
5044,10,6,9357.11,20
5044,14,5,4534.43,22
5045,7,1,8066.26,26
5045,29,6,13668.77,16
5045,21,10,3106.81,14
5046,40,10,7528.0,4
5046,14,5,9866.64,30
5046,40,8,5840.55,15
5046,30,10,7883.27,47
5047,25,1,3459.29,10
5047,28,5,14425.12,26
5047,18,8,14131.11,10
5047,13,5,2275.66,11
5048,41,1,14928.12,40
5048,37,5,14743.48,42
5048,21,8,6707.38,26
5049,39,6,9108.74,14
5050,35,8,10229.4,5
5050,40,2,14240.62,43
5050,16,9,11979.85,5
5051,36,8,6237.49,41
5051,36,2,12283.33,47
5051,46,8,10551.67,48
5051,33,10,13238.73,30
5052,15,8,2259.1,5
5052,36,5,14314.51,29
5053,34,10,8609.28,7
5053,28,10,6232.05,33
5054,32,10,7776.63,30
5054,38,2,12846.58,7
5055,22,2,11231.5,29
5055,39,3,7221.57,2
5055,27,4,2763.64,9
5055,50,1,6274.06,48
5056,40,8,3422.04,7
5057,38,9,8429.38,32
5057,9,7,7132.63,46
5058,9,10,12989.9,14
5059,10,2,3786.49,7
5059,49,4,3530.21,22
5059,27,5,6245.53,15
5059,2,10,12388.97,35
5060,25,2,4376.09,27
5061,37,3,10880.89,3
5061,24,10,8150.86,12
5061,12,2,10391.94,17
5062,27,1,8138.12,4
5062,29,3,12723.85,48
5063,34,7,3409.06,21
5063,30,10,12129.53,11
5063,19,10,10973.55,17
5063,26,6,7200.78,31
5064,31,8,14663.03,2
5065,22,3,12518.73,29
5065,30,1,2427.78,16
5065,7,3,8472.19,48
5065,9,4,14691.3,13
5066,35,4,9148.79,6
5066,14,9,13811.66,8
5067,29,7,6741.82,13
5067,46,10,7896.47,23
5067,43,5,13340.1,44
5068,10,8,2088.93,29
5068,14,4,4608.01,21
5068,29,3,5666.38,47
5068,8,6,3283.0,13
5069,15,7,12781.78,21
5069,4,7,6753.33,15
5069,7,1,13144.6,37
5070,45,10,7560.5,5
5070,6,5,13853.15,34
5071,47,8,10205.9,37
5072,4,4,9437.3,14
5072,36,9,12921.83,40
5072,36,5,12352.81,15
5073,37,10,3464.25,40
5073,34,4,9074.39,1
5073,6,2,2851.5,42
5074,29,10,13530.91,41
5074,38,2,10721.37,31
5075,41,6,5580.2,25
5075,28,7,2486.79,16
5076,24,5,11870.19,14
5076,11,4,10932.96,45
5076,11,5,6055.2,26
5077,24,6,14088.58,44
5077,42,7,8590.01,25
5078,9,6,12272.9,27
5079,49,9,6096.28,32
5079,39,2,13713.94,19
5079,15,5,5101.2,18
5079,7,1,8224.98,34
5080,33,4,13029.85,50
5080,24,2,14357.49,19
5080,2,7,5745.4,35
5081,5,7,10163.05,8
5081,48,5,13997.98,18
5081,48,7,2050.26,18
5082,25,10,8261.23,1
5082,33,9,3291.12,35
5083,48,4,8412.11,49
5084,29,10,7886.0,1
5084,13,1,9118.02,5
5085,31,3,6986.95,26
5086,36,5,7832.94,47
5086,30,7,8829.4,11
5086,4,8,5760.49,22
5087,44,4,4402.41,32
5088,11,5,12903.72,46
5088,31,10,6299.34,38
5088,1,10,8361.28,17
5088,15,2,5264.64,36
5089,4,7,8587.04,38
5089,7,2,8108.52,30
5089,14,8,4742.6,39
5090,16,7,7002.38,14
5091,27,3,2453.05,9
