id_viaje,id_tipo_costo,monto_costo
5001,C01,2258.18
5001,C02,5212.12
5001,C03,4060.49
5001,C04,1981.85
5001,C05,1926.52
5001,C06,3462.6
5002,C01,7300.27
5002,C02,5656.84
5002,C03,4259.02
5002,C04,7328.36
5002,C05,5399.7
5002,C06,5517.04
5003,C01,3360.09
5003,C02,8983.94
5003,C03,8333.78
5003,C04,4439.13
5003,C05,5971.67
5003,C06,8689.02
5004,C01,2793.87
5004,C02,8262.34
5004,C03,7696.72
5004,C04,3599.63
5004,C05,4702.31
5004,C06,7348.41
5005,C01,2609.73
5005,C02,4312.41
5005,C03,2592.7
5005,C04,5169.86
5005,C05,3572.9
5005,C06,3954.22
5006,C01,2078.7
5006,C02,1279.96
5006,C03,2056.72
5006,C04,3083.9
5006,C05,3600.15
5006,C06,2514.87
5007,C01,2226.8
5007,C02,7693.0
5007,C03,4422.55
5007,C04,4541.98
5007,C05,2207.84
5007,C06,4606.48
5008,C01,872.99
5008,C02,1020.93
5008,C03,655.76
5008,C04,1314.3
5008,C05,729.59
5008,C06,1063.42
5009,C01,2752.19
5009,C02,3530.26
5009,C03,3822.86
5009,C04,2264.19
5009,C05,1401.69
5009,C06,2968.2
5010,C01,2637.54
5010,C02,1960.79
5010,C03,645.23
5010,C04,2162.23
5010,C05,1791.8
5010,C06,2510.71
5011,C01,3746.91
5011,C02,4797.09
5011,C03,2018.39
5011,C04,4143.75
5011,C05,4730.76
5011,C06,2852.61
5012,C01,4025.73
5012,C02,4502.83
5012,C03,3489.04
5012,C04,1344.15
5012,C05,4286.74
5012,C06,1593.66
5013,C01,6570.52
5013,C02,1732.87
5013,C03,4467.94
5013,C04,5548.24
5013,C05,5416.18
5013,C06,5067.12
5014,C01,5262.97
5014,C02,4622.69
5014,C03,2731.8
5014,C04,8573.86
5014,C05,5094.19
5014,C06,7629.94
5015,C01,3674.27
5015,C02,3112.56
5015,C03,4844.5
5015,C04,3785.04
5015,C05,2692.27
5015,C06,6987.35
5016,C01,1557.39
5016,C02,3693.48
5016,C03,5945.42
5016,C04,2883.2
5016,C05,3757.29
5016,C06,5725.17
5017,C01,466.51
5017,C02,622.46
5017,C03,733.57
5017,C04,1914.15
5017,C05,2039.53
5017,C06,1595.29
5018,C01,2133.6
5018,C02,6619.46
5018,C03,4273.94
5018,C04,1540.51
5018,C05,5302.96
5018,C06,3119.22
5019,C01,7419.13
5019,C02,2127.26
5019,C03,8292.31
5019,C04,5077.43
5019,C05,3956.31
5019,C06,3635.07
5020,C01,2846.83
5020,C02,4077.05
5020,C03,3276.48
5020,C04,1294.48
5020,C05,4550.97
5020,C06,2122.6
5021,C01,620.22
5021,C02,2134.31
5021,C03,2449.79
5021,C04,590.21
5021,C05,1244.22
5021,C06,2539.61
5022,C01,7255.67
5022,C02,7832.39
5022,C03,8242.27
5022,C04,7916.71
5022,C05,4177.77
5022,C06,5203.78
5023,C01,4506.92
5023,C02,2904.15
5023,C03,3141.18
5023,C04,5083.51
5023,C05,6566.04
5023,C06,2075.59
5024,C01,3197.62
5024,C02,1606.54
5024,C03,2390.66
5024,C04,846.89
5024,C05,2117.91
5024,C06,2261.24
5025,C01,1124.46
5025,C02,974.35
5025,C03,1732.64
5025,C04,1440.21
5025,C05,607.77
5025,C06,1127.17
5026,C01,4796.71
5026,C02,4733.35
5026,C03,6775.3
5026,C04,4385.98
5026,C05,9759.23
5026,C06,5553.31
5027,C01,7604.27
5027,C02,6358.15
5027,C03,4338.95
5027,C04,5695.17
5027,C05,8558.75
5027,C06,8049.7
5028,C01,8464.4
5028,C02,6060.24
5028,C03,11344.0
5028,C04,8291.5
5028,C05,10872.94
5028,C06,11411.47
5029,C01,2365.23
5029,C02,3934.05
5029,C03,6364.39
5029,C04,6012.79
5029,C05,4310.7
5029,C06,3745.93
5030,C01,2553.23
5030,C02,1791.36
5030,C03,1924.08
5030,C04,822.06
5030,C05,1331.01
5030,C06,2386.41
5031,C01,3149.03
5031,C02,2101.45
5031,C03,6680.04
5031,C04,3805.68
5031,C05,8986.48
5031,C06,8076.03
5032,C01,3210.94
5032,C02,3185.65
5032,C03,1141.17
5032,C04,1675.51
5032,C05,4661.9
5032,C06,978.99
5033,C01,2029.06
5033,C02,5921.46
5033,C03,5540.5
5033,C04,6878.36
5033,C05,9321.27
5033,C06,2305.87
5034,C01,10101.23
5034,C02,2883.22
5034,C03,3390.29
5034,C04,4457.3
5034,C05,4681.8
5034,C06,8535.77
5035,C01,1166.63
5035,C02,3101.17
5035,C03,3842.29
5035,C04,1836.47
5035,C05,3585.05
5035,C06,1285.94
5036,C01,3365.16
5036,C02,2117.48
5036,C03,3803.24
5036,C04,6198.78
5036,C05,1757.53
5036,C06,3930.51
5037,C01,937.8
5037,C02,1623.54
5037,C03,990.51
5037,C04,851.02
5037,C05,1946.47
5037,C06,1784.33
5038,C01,2737.59
5038,C02,2809.57
5038,C03,4246.3
5038,C04,5032.73
5038,C05,6744.67
5038,C06,5408.02
5039,C01,798.77
5039,C02,748.38
5039,C03,1092.53
5039,C04,1284.93
5039,C05,552.13
5039,C06,950.01
5040,C01,437.5
5040,C02,364.28
5040,C03,534.38
5040,C04,1765.25
5040,C05,597.45
5040,C06,1619.28
5041,C01,2876.68
5041,C02,4792.99
5041,C03,2283.38
5041,C04,1119.26
5041,C05,3234.96
5041,C06,2474.47
5042,C01,1229.39
5042,C02,2557.17
5042,C03,5979.02
5042,C04,5714.54
5042,C05,1319.01
5042,C06,3053.84
5043,C01,1854.95
5043,C02,8369.78
5043,C03,4007.07
5043,C04,5971.35
5043,C05,3756.34
5043,C06,5711.46
5044,C01,5007.72
5044,C02,3251.2
5044,C03,1737.82
5044,C04,1786.6
5044,C05,2090.64
5044,C06,1645.67
5045,C01,2193.36
5045,C02,6498.88
5045,C03,3020.02
5045,C04,8038.01
5045,C05,3859.8
5045,C06,7457.58
5046,C01,1908.74
5046,C02,4819.14
5046,C03,3202.76
5046,C04,4671.17
5046,C05,3872.84
5046,C06,4255.47
5047,C01,884.06
5047,C02,2173.09
5047,C03,1710.26
5047,C04,1897.6
5047,C05,2040.44
5047,C06,1499.68
5048,C01,6644.7
5048,C02,4404.04
5048,C03,2069.64
5048,C04,3713.21
5048,C05,4010.97
5048,C06,3474.72
5049,C01,7322.46
5049,C02,3626.25
5049,C03,7086.26
5049,C04,8121.09
5049,C05,4912.87
5049,C06,4642.79
5050,C01,8763.29
5050,C02,4308.81
5050,C03,8677.76
5050,C04,2726.37
5050,C05,2972.39
5050,C06,9027.49
5051,C01,5359.6
5051,C02,3674.29
5051,C03,5188.92
5051,C04,8071.6
5051,C05,8096.94
5051,C06,9250.3
5052,C01,4080.04
5052,C02,3295.83
5052,C03,1686.31
5052,C04,2052.56
5052,C05,2732.65
5052,C06,1917.67
5053,C01,5424.59
5053,C02,7239.4
5053,C03,4068.17
5053,C04,4887.17
5053,C05,8747.13
5053,C06,8393.43
