id_viaje,id_aeronave,id_fecha,id_zona,horas_vuelo,distancia_km
5001,N999XX,20230622,Z1,5.3,4505
5002,N555CC,20240423,Z2,8.94,7599
5003,N999XX,20240217,Z4,9.18,7803
5004,N999XX,20230128,Z1,11.19,9511
5005,N222RR,20231219,Z3,5.46,4641
5006,N999XX,20230930,Z2,3.87,3289
5007,N12345,20230718,Z4,8.94,7599
5008,N555CC,20230520,Z2,1.32,1122
5009,N67890,20240308,Z3,4.45,3782
5010,N67890,20240315,Z2,2.73,2320
5011,N67890,20230821,Z3,5.68,4828
5012,N999XX,20230305,Z2,4.62,3927
5013,N222RR,20230921,Z3,7.32,6222
5014,N999XX,20231124,Z4,11.94,10149
5015,N999XX,20231203,Z1,9.1,7735
5016,N12345,20231219,Z3,6.75,5737
5017,N222RR,20231106,Z4,2.08,1768
5018,N12345,20240212,Z4,6.93,5890
5019,N67890,20230708,Z1,8.64,7344
5020,N222RR,20230315,Z4,4.77,4054
5021,N555CC,20230331,Z2,2.66,2261
5022,N12345,20240430,Z1,9.21,7828
5023,N555CC,20240228,Z2,8.35,7097
5024,N12345,20230922,Z2,3.26,2771
5025,N12345,20240222,Z3,2.22,1887
5026,N222RR,20231125,Z4,10.49,8916
5027,N67890,20240423,Z3,9.88,8398
5028,N999XX,20230302,Z4,11.69,9936
5029,N12345,20230916,Z1,6.57,5584
5030,N12345,20230621,Z2,2.92,2482
5031,N12345,20230813,Z4,9.11,7743
5032,N555CC,20240229,Z1,4.75,4037
5033,N222RR,20240324,Z1,9.82,8347
5034,N222RR,20240430,Z2,11.27,9579
5035,N12345,20231008,Z3,3.92,3332
5036,N222RR,20231217,Z2,6.58,5593
5037,N222RR,20231130,Z4,2.7,2295
5038,N67890,20230316,Z1,7.0,5950
5039,N67890,20230201,Z2,1.74,1479
5040,N222RR,20240419,Z4,1.8,1530
5041,N12345,20230717,Z2,5.07,4309
5042,N67890,20230604,Z1,5.98,5083
5043,N12345,20240105,Z2,8.91,7573
5044,N222RR,20230228,Z4,7.71,6553
5045,N999XX,20240114,Z4,8.67,7369
5046,N12345,20240303,Z3,4.89,4156
5047,N999XX,20231008,Z1,3.19,2711
5048,N999XX,20231216,Z1,6.76,5746
5049,N222RR,20240125,Z2,8.73,7420
5050,N222RR,20231016,Z2,11.73,9970
5051,N12345,20230420,Z4,10.58,8993
5052,N222RR,20240427,Z1,4.23,3595
5053,N999XX,20230618,Z3,8.82,7497
5054,N999XX,20240424,Z3,8.82,7497
5055,N12345,20230807,Z4,1.34,1139
5056,N222RR,20231025,Z4,1.44,1224
5057,N555CC,20230302,Z1,4.89,4156
5058,N999XX,20230122,Z2,11.31,9613
5059,N999XX,20231023,Z2,6.09,5176
5060,N222RR,20230417,Z3,7.71,6553
